A5YKK6,P53829
O00232,B4URF7
O00232,G3CKS7
O00232,P03126
O00232,P03427
O00232,P03428
O00232,P03430
O00232,P03452
O00232,P03454
O00232,P03470
O00232,P03496
O00232,P05777
O00232,P05780
O00232,P06463
O00232,P06821
O00232,P15659
O00232,P15682
O00232,Q2MG95
O00232,Q7CJ44
O00232,Q8JPQ9
O00308,P40325
O00505,Q12259
O00629,Q12259
O15217,P32502
O15217,P38340
O15265,P32494
O15265,Q02336
O15265,Q03330
O43318,A0A288CFT1
O43318,F5HEZ4
O43318,P03230
O43318,P04578
O43709,D0UZS0
O43709,P36801
O43709,Q2HR75
O43791,P38340
O75306,A0A075C673
O75306,C5E527
O75306,P03431
O75306,P0DOE9
O75369,P03496
O75369,P04591
O75369,P06788
O75369,Q9J0X9
O75381,P03179
O75381,P03220
O75381,P03508
O75381,P0CK56
O75381,P30119
O75381,Q2MG95
O75880,P06427
O75880,P06428
O75880,P06463
O75880,P06929
O75880,P24835
O76083-2,P32502
O76083-2,P39518
O76083-2,P40454
O94972,P32571
O94972,P58526
O94972,P88980
O96006,P32502
O96006,P38340
O96006,P39518
O96006,P40454
O96019,P04608
O96019,Q12692
O96019,Q6SWA4
P02649,B9UPF3
P02649,P69901
P02649,Q8D092
P02794,B9UPF3
P02794,P03225
P02794,P27958
P02794,P69901
P02794,Q1K9H5
P02794,Q69117
P02794,Q8AZJ3
P04114,P32589
P04637,P02829
P05109,Q02821
P06396,P03433
P06396,P60010
P06396,Q3SBS4
P06396,Q67020
P06396,Q6DP93
P06396,Q81KQ7
P07900,P07213
P08727,P32502
P08727,P47041
P09493,A0A218M2D5
P09493,P03454
P09493,P03470
P09493,P15682
P09493,Q72874
P0CG48,P05375
P0CG48,P22141
P0CG48,P32502
P0CG48,P32589
P0CG48,P33299
P0CG48,P38886
P0CG48,P39940
P0CG48,P40302
P0CG48,P48510
P0CG48,Q02821
P0DP24,P04578
P0DP24,P04601
P0DP24,P06422
P0DP24,P06921
P0DP24,P24830
P0DP24,P36780
P0DP24,P36801
